trigram phrase,frequency
other than the,12
to be an,12
we had some,12
tell you we,12
gonna say no,12
a year and,12
back we have,12
know in the,12
and ahead of,12
to bomb the,12
the best i,12
the person that,12
know when i,12
coming down the,12
i said well,12
said no no,12
they come back,12
lot of problems,10
nobody else has,10
and i'm the,10
so i would,10
but what happens,10
be great if,10
know when to,10
doing so well,10
the people the,10
something we have,10
and the other,10
about you know,10
so they do,10
no no we,10
to take him,10
with us and,10
that but it,10
day it was,10
things and you,10
the country we,10
the hundred and,10
problem if you're,10
up with drugs,10
so they have,10
i am a,10
ago i said,10
you so much,10
but they are,10
28 000 troops,10
but these are,10
takes guts to,10
wanted to come,10
be taken care,10
george patton would,10
million dollars i,10
before and we,10
i see so,10
gonna win on,10
20 000 people,10
are looking for,10
they refused to,10
of new hampshire,10
i really don't,10
have turned down,10
that but i,10
lot of it,10
great people but,10
they can buy,10
we gonna do,10
have a guy,10
this all over,10
the bank of,10
twenty thousand people,10
we have an,10
them in the,10
hell are we,10
we're gonna stop,10
ordered four thousand,10
and every time,10
and it's so,10
had an amazing,10
and we're not,10
in new jersey,10
the bottom of,10
want to finish,10
and we owe,10
nothing to do,10
because we had,10
